id,tracker,target,start_date,category,subject,thresholds,images,caption,links,status,end_date,description
58,Data Problems,IM FSAH4 I2 HDF,2020-11-30,Amplitudes,Dead Sensor,"dead, lowRms",/home/dq/quarg/quarg_plots/2020_11_30/FSAH4_I2_PDF.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/IM.FSAH4.I2_death.png,Dead sensor at I2;;;;Waveform showing the time at which this element ceased to record ground motions,,In Progress,,The sensor at the I2 element died late on 2020-11-30 and remains dead through the end of the reporting period. Added a plot pinpointing the problem onset on 2020-11-30.
7,Data Problems,IM FSAH1 B1 BH?,2020-11-02,Amplitudes,Dead broadband sensor,"dead, lowAmp, flat",/Users/ken/quarg/quarg_plots/2020_12_14/FSAH1_BHZ_2019_11_28.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/FSAH1_BHZ_2020_01_16.png,Last time period when sensor was recording ground motions;;;;Data returned but as digitizer noise,,In Progress,,"All 3 channels of the broadband sensor at FSAH1 are not recording ground motions. We have approached Randy about this sensor but it is not resolved. This ticket remains open. I looked at bit more closely at this. Apparently, ground motions were recorded up until 2019-11-28, at which point there was an outage. The data returned on 2020-01-16, but only as digitizer noise. I have an email out to Randy to see if we can update out metadata with an end date of 2019-11-28 for this sensor."
11,Data Problems,IM FSAH8 B1 BH?,2020-11-02,Amplitudes,Dead broadband sensor,"dead, flat",/Users/ken/quarg/quarg_plots/FSAH8_PDF.png,,,In Progress,,"Keeping this ticket open for a dead broadband sensor. Added the 'dead' threshold, based on the 'dead_channel_gsn' metric. Looked more closely at when this problem began. Looks like data went out around 2019-11-28T03:35:00 and came back as digitizer noise on 2020-01-16T01:30:00. I have an email out to Randy to see if this sensor should be closed in our metadata."
57,Data Problems,IM FSAH2 I2 HDF,2020-11-30,Amplitudes,Dead sensor on the I2 element,,/home/dq/quarg/quarg_plots/2020_11_30/FSAH2_I2_PDF.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/IM.FSAH2.I2_death.png,PDF showing dead sensor at I2;;;;Waveform showing time that the I2 element ceased recording ground motions,,In Progress,,The I2 element appears to have a dead sensor. Problem appears to have started late on 2020-11-30. Added an image pinpointing time of problem onset.
20,Data Problems,IU GUMO 10 BH?,2020-11-02,Metadata,Elevated noise on broadband,"badResp, hiAmp",/Users/ken/quarg/quarg_plots/2020_12_14/GUMO_original_watc_inv.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/GUMO_updated_watc_inv.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/GUMO_iris_inv.png,Spectra computed with old WATC metadata;;;;Spectra computed with corrected WATC metadata;;;;Spectra computed with IRIS metadata,,In Progress,,"All 3 broadband channels exceeded the 'hiAmp' threshold. This issues has been corrected in our metadata inventory and will soon be installed. However, the ticket will remain open until the station passes thresholds. Metadata has been updated for the 2020-12-14 period. This has improved noise spectra, but noise remains elevated enough to still exceed thresholds. Ticket will remain open pending a discussion with the A-Team."
23,Data Problems,IM ADKI [01-06] CDF,2020-11-11,Completeness,Gaps,"avgGaps, gapsRatioGt12",/Users/ken/quarg/quarg_plots/2020_11_16/ADKI_01_wf.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/IM.ADKI.01.CDF.D_2020-11-16_num_gaps.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/IM.ADKI.01.CDF.D_2020-11-16_percent_availability.png,Waveform showing typical gap pattern for CDF channels.;;;;Daily number of gaps for the ADKI.01 element. Pattern in similar for all elements.;;;;Number of gaps affects percent_availability for all elements.,,In Progress,,"All elements of the ADKI array exhibit large numbers of gaps in the CDF channels for the entire reporting period. Daily number of gaps appear to spike on 2020-11-20 and 2020-11-21. These gaps continue, but metric generation for these channels will cease until they can by down-sampled."
63,Data Problems,IM I52C[1-7] - BDF,2020-12-15,Completeness,Gaps,"avgGaps, gapsRatioGt12",/Users/ken/quarg/quarg_plots/2020_12_14/IM.I52C1..BDF.D_2020-12-14_num_gaps.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/IM.I52C1..BDF.D_2020-12-14_percent_availability.png,Plot showing the large number of gaps on 2020-12-15;;;;Gaps on 2020-12-15 were large enough to affect data availability. All C elements were affected.,,New,,There were a large number of gaps at all C elements at I52 on 2020-12-15. This problem did not affect the H elements at I52.
64,Data Problems,"IM I53[H,C]7 - ?DF",2020-12-16,Completeness,Gaps,,/Users/ken/quarg/quarg_plots/2020_12_14/IM.I53H7..BDF.D_2020-12-14_num_gaps.png,Plot showing the large number of gaps on the H7 element on 2020-12-16 and 2020-12-17. The C7 element was also affected.,,New,,There were large numbers of gaps at the I53 H7 and C7 elements on 2020-12-16 and 2020-12-17.
22,Data Problems,US ELK 00 BH?,2020-11-02,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/ELK_comparison.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/US.ELK.00.BHZ.D_2020-11-16_num_gaps.png,Comparison of IRIS-downloaded vs WATC-downloaded waveforms for ELK.BHZ showing gaps in WATC data but not in IRIS;;;;Daily number of gaps on BHZ. Similar numbers for all components,,In Progress,,All broadband channels at US.ELK exhibit high numbers of gaps for the entire reporting period. The same data from the IRIS FDSN do not exhibit gaps. There appears to be a communication error at some point. Gaps continuing through the current reporting period.
1,Data Problems,"AV DLLH[1,2] - HDF",2020-11-08,Completeness,Gaps and Outage,"avgGaps, gapsRatioGt12",;;;;/Users/ken/quarg/quarg_plots/2020_12_14/AV.DLL.01.HDF.D_2020-12-14_num_gaps.png;;;;/Users/ken/quarg/quarg_plots/2020_12_14/AV.DLL.01.HDF.D_2020-12-14_percent_availability.png,;;;;Plot showing large numbers of gaps at the H1 element on 2020-12-16;;;;Large numbers of gaps on 2020-12-16 precipitated a drop in availability for the H1 and H2 elements,,In Progress,,There were numerous gaps on elements 1 and 2 for the reporting period. Gaps and outages for elements 1 and 2 continued into this reporting period with large numbers of gaps occurring on 2020-12-16.
